year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct
5353000000,90487286614.96458,36194914645.9858,29693345487.493835,24824790562.36492,14151811571.919592,6906092418.792572,429323465.07823,62125428.35166072,117540753576.85394
5354000000,90489938378.9478,36195975351.57909,29696596272.073082,24829108541.004913,14155099122.755901,6907769382.3362255,429427774.2925176,62140529.20899048,117602879005.2056
5355000000,90492588833.12158,36197035533.248604,29699845961.612835,24833425373.70716,14158385998.272177,6909446015.600595,429532062.9741106,62155627.09505967,117665019534.41458
5356000000,90495237978.16913,36198095191.26762,29703094556.39865,24837741060.544544,14161672198.349401,6911122318.512561,429636331.11845124,62170722.00920729,117727175161.50964
5357000000,90497885814.77316,36199154325.90923,29706342056.716087,24842055601.59016,14164957722.868805,6912798290.999136,429740578.72099,62185813.95077369,117789345883.51884
5358000000,90500532343.61603,36200212937.44638,29709588462.850685,24846368996.917313,14168242571.711876,6914473932.987471,429844805.7771858,62200902.9191003,117851531697.46962
5359000000,90503177565.37962,36201271026.15182,29712833775.087982,24850681246.599514,14171526744.760351,6916149244.404849,429949012.2825059,62215988.91352985,117913732600.38872
5360000000,90505821480.74542,36202328592.298134,29716077993.713512,24854992350.710487,14174810241.89622,6917824225.17869,430053198.2324261,62231071.933406204,117975948589.30225
5361000000,90508464090.39447,36203385636.15775,29719321119.012806,24859302309.32416,14178093063.00172,6919498875.236547,430157363.62243044,62246151.97807456,118038179661.23566
5362000000,90511105395.0074,36204442158.00292,29722563151.271378,24863611122.514675,14181375207.959349,6921173194.506109,430261508.4480114,62261229.04688121,118100425813.21373
5363000000,90513745395.2644,36205498158.10572,29725804090.774742,24867918790.356377,14184656676.651844,6922847182.915198,430365632.70466965,62276303.139173724,118162687042.2606
5364000000,90516384091.84526,36206553636.73806,29729043937.808407,24872225312.92382,14187937468.962202,6924520840.391771,430469736.38791454,62291374.25430088,118224963345.39978
5365000000,90519021485.42932,36207608594.171684,29732282692.65787,24876530690.29177,14191217584.773666,6926194166.86392,430573819.4932635,62306442.39161261,118287254719.65408
5366000000,90521657576.69551,36208663030.67816,29735520355.608627,24880834922.5352,14194497023.969734,6927867162.259871,430677882.0162425,62321507.55046013,118349561162.0457
5367000000,90524292366.32234,36209716946.52889,29738756926.946163,24885138009.729282,14197775786.43415,6929539826.507981,430781923.9523857,62336569.73019586,118411882669.59616
5368000000,90526925854.9879,36210770341.99511,29741992406.955956,24889439951.949413,14201053872.050915,6931212159.536745,430885945.2972358,62351628.93017333,118474219239.32635
